(210, 175)
(207, 193)
(204, 213)
(205, 235)
(209, 257)
(218, 276)
(234, 290)
(256, 298)
(287, 297)
(320, 297)
(352, 296)
(382, 288)
(406, 272)
(420, 250)
(427, 224)
(432, 197)
(434, 171)
(222, 134)
(229, 117)
(243, 105)
(263, 100)
(283, 102)
(310, 98)
(334, 90)
(361, 90)
(385, 99)
(401, 117)
(293, 120)
(290, 128)
(286, 137)
(282, 147)
(266, 179)
(276, 180)
(287, 181)
(300, 179)
(313, 177)
(237, 152)
(246, 145)
(257, 142)
(271, 142)
(259, 146)
(248, 150)
(333, 137)
(347, 134)
(361, 135)
(375, 140)
(360, 140)
(347, 139)
(248, 223)
(262, 208)
(275, 200)
(287, 201)
(298, 198)
(318, 205)
(344, 218)
(318, 220)
(299, 220)
(287, 220)
(275, 221)
(262, 223)
(254, 221)
(275, 212)
(287, 211)
(299, 210)
(336, 217)
(299, 210)
(287, 211)
(275, 212)
